id,id2,kttr,rw,cw,idm,mwr,nn,vv,ad,con,cc,pp,pn,asl,pun,mdd,ba,bei
deng,ch7_5,80.69127694,6.78909293,84.36282693,0.333889816,4239.009552,20.3672788,26.37729549,11.12966055,61.93656093,0.556483027,4.062326099,12.57651642,11.37341772,21.2187637,2.290585317,0.556483027,0.111296605
deng,ch8_1,89.25949455,5.71428571,83.40425532,1.823708207,5212.813024,21.51975684,23.58662614,13.00911854,63.46504559,1.155015198,3.890577508,11.00303951,19.81927711,14.36751692,2.80818116,0.364741641,0.303951368
deng,ch8_2,69.52634485,6.78210678,85.35353535,1.082251082,3831.091331,19.91341991,24.02597403,13.92496392,61.97691198,0.793650794,3.751803752,11.3997114,14,17.15481172,2.468303373,0.288600289,0.216450216
deng,ch8_3,76.79443571,6.52173913,83.69565217,0.339443313,4694.167878,22.55434783,26.5625,12.36413043,65.28532609,0.543478261,3.872282609,9.850543478,15.33333333,17.67337808,2.47750952,0.407608696,0.067934783
deng,ch9_1,84.55542344,5.6766055,86.58256881,1.088201604,4106.607903,21.31805158,26.53295129,12.03438395,62.80802292,0.744985673,3.553008596,11.91977077,13.84126984,18.69463869,2.504229445,0.343839542,0.229226361
deng,ch9_2,94.26499344,6.91144708,85.69114471,0.75553157,3972.470418,21.49028078,25.48596112,10.04319654,60.42116631,0.809935205,3.887688985,13.01295896,14.13740458,17.68888889,2.515799906,0.755939525,0.161987041
deng,ch9_3,86.0106666,5.90858417,84.72686734,1.559020045,4694.481043,21.29319955,23.24414716,11.76142698,60.92530658,1.170568562,4.292084727,11.0367893,21.35714286,14.48999047,3.016963317,0.445930881,0.22296544
kao,ch1_1,83.32714298,7.25321888,82.27467811,1.888412017,5405.836187,24.67811159,21.80257511,13.21888412,63.94849785,0.944206009,4.592274678,8.111587983,27.09302326,12.83202394,3.181187321,0.300429185,0.042918455
kao,ch1_2,75.81277975,6.77009873,83.35684062,2.209685002,4809.273323,18.75,25.51691729,13.67481203,62.45300752,0.892857143,3.007518797,10.94924812,17.15322581,18.90964544,2.674801356,0.79887218,0.046992481
kao,ch1_3,79.54511833,5.80985915,84.77112676,1.320422535,4703.591589,21.12676056,25.35211268,13.99647887,64.04049296,0.968309859,3.565140845,11.83978873,16.11347518,17.74076756,2.522570391,0.660211268,0
kao,ch2_1,62.75202748,6.6305003,81.25376733,1.446654611,5714.757908,24.95479204,23.20675105,12.23628692,65.03918023,0.602772755,3.254972875,7.353827607,18.43333333,17.42160279,2.743847181,0.361663653,0.120554551
kao,ch2_2,67.98765432,6.98957695,83.7522992,1.22624157,4947.535267,23.85039853,24.09564684,11.15879828,62.66094421,0.858369099,3.740036787,8.828939301,17.35106383,17.50126454,2.579212632,0.674432863,0.061312078
kao,ch2_3,78.06622008,6.2150404,83.84089497,1.115933044,4849.969516,20.3231821,27.09757613,13.30018645,63.76631448,0.745804848,3.418272219,11.99502797,15.7745098,19.02365375,2.66186005,0.559353636,0
kao,ch3_1,65.87656069,7.63888889,80.64814815,2.127659574,6103.872682,24.81481481,24.39814815,12.03703704,65.18518519,0.87962963,3.37962963,7.777777778,19.45945946,16.57010429,2.69706379,0.277777778,0.138888889
kao,ch3_2,69.99475875,7.56676558,82.14638971,1.730959446,5419.081862,20.67260138,24.23343225,13.60039565,62.36399604,0.346191889,4.896142433,11.02868447,15.31818182,18.00486618,2.617758973,0.247279921,0.049455984
kao,ch3_3,66.73240849,6.37082601,84.40246046,1.969365427,4672.513843,22.14411248,23.90158172,13.53251318,63.79613357,0.922671353,3.9543058,10.28119508,18.35483871,16.72155141,2.701558578,0.439367311,0.175746924
kao,ch4_1,63.7724439,11.55419223,78.32310838,1.48185999,5037.927168,28.92181911,21.25702606,12.16147164,66.01941748,1.788451712,4.241185488,7.869187532,21.49450549,15.90713672,3.137846194,0.255493102,0.153295861
kao,ch4_2,83.4427026,7.35516373,84.4836272,0.906801008,4114.091354,22.75931521,24.57200403,11.88318228,62.94058409,0.302114804,3.524672709,11.63141994,14.38405797,20.40898156,2.447025106,0.604229607,0.100704935
kao,ch4_3,76.13446133,6.41934139,84.66027511,1.040799334,4663.540312,20.84201751,24.80200083,11.79658191,61.0671113,0.375156315,4.293455607,12.04668612,18.45384615,15.70625439,2.761828315,0.791996665,0.041684035
