x,y
拔葵啖枣,-0.555555556
拔葵去织,-0.777777778
拔了萝卜地皮宽,-0.555555556
拔类超群,0.555555556
拔苗助长,-0.555555556
拔群出萃,0.555555556
拔山超海,0.555555556
拔山盖世,0.777777778
拔山举鼎,0.555555556
拔山扛鼎,0.111111111
拔十得五,-0.111111111
拔树寻根,0.777777778
拔犀擢象,0.333333333
拔新领异,0.777777778
拔擢,0.555555556
拔足紧跟,0.0892384044682213
跋扈,-0.555555556
跋扈飞扬,-0.555555556
跋扈自恣,-0.555555556
跋扈恣睢,-0.555555556
跋前疐后,-0.777777778
跋前踬后,-0.777777778
跋涉,-0.311676083
把..分隔开,-0.039937978
把..割下,-0.176271186
把..孤注一掷,-0.029626886
把..归咎于,-0.055440588
把..烤焦,-0.081355932
把..闷死,-0.220355254
把..强加于,-0.055466486
把..烧焦,-0.13559322
把..吓出来,-0.074758554
把..吓跑,-0.094915254
把持,-0.333333333
把工作搞糟,-0.205069912
把关在栏内,-0.083750834
把火扑灭,0.264981268620237
把酒持螯,0.555555556
把妳打死,-0.276637729
把头,-0.555555556
把玩,0.333333333
把玩无厌,0.888888889
把稳,0.43235018458657
把握,0.0883270891058043
把握机会,0.213632800310499
把握良机,0.261751675954501
把握时机,0.151342815223658
把戏,-0.555555556
把兄弟,0.555555556
罢黜,-0.555555556
罢工,-0.3248659135
罢官,-0.555555556
罢教,-0.555555556
罢课,-0.3540489645
罢了,-0.294350117
罢免,-0.287569795
罢手,-0.555555556
罢休,-0.555555556
罢职,-0.555555556
霸持,-0.333333333
霸道,-0.555555556
霸道横行,-0.555555556
霸气,-0.333333333
霸权主义,-0.056392525
霸赏,0.132490633658706
霸天,0.30914481317314
霸王,-0.111111111
霸王别姬,-0.555555556
霸王风月,-0.777777778
霸王硬上弓,-0.059543173
霸业,0.0883270891058043
霸占,-0.555555556
霸主,-0.555555556
白白,-0.1104108095
白璧微瑕,-0.333333333
白璧无瑕,1
白璧无暇,1
白吃,-0.044114746
白痴,-0.48848516
白痴般,-0.284763428
白搭,-0.111111111
白党,-0.555555556
白丁,-0.111111111
白丁俗客,-0.555555556
白发苍苍,0.111111111
白发丹心,0.555555556
白发红颜,0.333333333
白发千丈,-0.555555556
白费,-0.1977423445
白搞,-0.182432881
白骨露野,-1
白骨再肉,0.555555556
白黑分明,0.555555556
白华之怨,-0.555555556
白金,0.100662056230218
白净,0.333333333
白驹空谷,-0.555555556
白蜡明经,-0.555555556
白烂,-0.147438407
白老鼠,-0.115308972
白忙,-0.333333333
白忙活儿,-0.333333333
白目,-0.070295898
